vendor,product_name,current_price,old_price,month
Metro,Non-Dairy Vanilla Flavoured Latte Coffee Cream,7.49,8.99,6
Metro,Vanilla And Caramel Flavoured K-Cup® Coffee Capsules,9.99,12.99,6
Metro,Classic Black K-Cup® Coffee Capsules,9.99,12.99,6
Metro,Cold Brew Unsweetened Iced Coffee,7.49,7.99,6
Metro,"Limited Edition Coffee Whitener, Coffee Mate",4.99,6.99,6
Metro,Italian Blend Dark Roast K-Cup Coffee Pods,6.49,6.99,6
Metro,Classic Roast Ground Coffee,8.99,12.49,6
Metro,"Medium Roast Decafreinated K-Cup Coffee Pods, Pike P...",22.99,26.99,6
Metro,"Medium Roast House Blend K-Cup Coffee Pods, Organic",6.49,6.99,6
Metro,Classic Decaf Ground Coffee,8.99,12.99,6
Metro,Black Silk Ground Coffee,8.99,12.99,6
Metro,Unsweetened Brewed Dark Coffee Beverage,7.99,8.99,6
Metro,Unsweetened Brewed Dark Coffee Beverage,7.99,8.99,7
Metro,Unsweetened Brewed Dark Coffee Beverage,8.49,9.99,7
Metro,Blonde Roast Iced Coffee,8.99,9.99,6
Metro,"Columbian Instant Coffee, Gold",2,8.29,6
Metro,"Columbian Instant Coffee, Gold",5.99,8.29,7
Metro,"Columbian Instant Coffee, Gold",6.99,8.29,7
Metro,Semi-Sweet Brewed Dark Coffee Beverage,7.99,8.99,6
Metro,Semi-Sweet Brewed Dark Coffee Beverage,7.99,8.99,7
Metro,Semi-Sweet Brewed Dark Coffee Beverage,8.49,9.99,7
Metro,Medium Roast Iced Coffee,8.99,9.99,6
Metro,House Blend Coffee Compostable Pods,9.99,17.99,6
Metro,Original Roast Coffee Compostable Pods,9.99,17.99,6
Metro,Crema E Gusto Classico Ground Coffee,4.49,6.49,6
Metro,Crema E Gusto Classico Ground Coffee,4.99,6.49,6
Metro,Crema E Gusto Classico Ground Coffee,4.99,6.49,7
Metro,Grounded Lote Chavena Coffee,4.29,4.6899999999999995,6
Metro,Grounded Lote Chavena Coffee,4.29,4.6899999999999995,7
